"_","Id","UsageReportingOrgId__c","TenantId__c","KQ_Id__c","Id__c","InternalOrganization__c","BusinessEnvType__c","UsageQualifiedName__c","EventTime__c","DataSourceObject__c","EntitlementOrgId__c","ExtractTime__c","UsageValue__c"
"[TenantBillingUsageEvent__dlm]","qB5000003504310CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0001a880-927a-4ffb-8da1-649512fe4fed","","Production","DataCloud_StreamingDataPipeline","2025-02-19T13:58:17.384+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-19T14:57:11.743+0000","7"
"[TenantBillingUsageEvent__dlm]","qB5000003088053CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00037cd1-b875-41b6-acbe-374404a02738","","Production","DataCloud_StreamingDataPipeline","2025-02-02T16:01:08.781+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-02T16:56:39.868+0000","1"
"[TenantBillingUsageEvent__dlm]","qB5000002498949CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0003907e-9c0f-47b3-895b-d328a9816508","","Production","DataCloud_StreamingDataPipeline","2025-02-25T10:28:45.593+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-25T10:57:03.655+0000","1"
"[TenantBillingUsageEvent__dlm]","qB5000002979630CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0003abdd-e4ba-4c9d-90cb-5aec22b948c2","","Production","DataCloud_StreamingDataPipeline","2025-02-12T17:38:31.270+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-12T17:57:08.495+0000","3"
"[TenantBillingUsageEvent__dlm]","qB5000005417155CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0004b6b3-2667-4bf5-96c1-01c7b82f8fdd","","Production","DataCloud_StreamingDataPipeline","2025-02-17T23:37:40.984+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-17T23:57:12.259+0000","7"
"[TenantBillingUsageEvent__dlm]","qB5000001681507CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00064111-7ac7-4838-995d-198675d124f7","","Production","DataCloud_StreamingDataPipeline","2025-02-04T08:58:57.984+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-04T09:56:34.375+0000","1"
"[TenantBillingUsageEvent__dlm]","qB5000005121173CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00066c44-6c8f-4d17-83ba-c6258bd94aed","","Production","DataCloud_StreamingDataPipeline","2025-02-03T12:13:39.579+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-03T12:56:36.125+0000","3"
"[TenantBillingUsageEvent__dlm]","qB5000009888957CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0006ce69-935c-4cd5-860e-e7aee435626f","","Production","DataCloud_StreamingDataPipeline","2025-02-18T12:24:13.384+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-18T12:56:57.847+0000","333"
"[TenantBillingUsageEvent__dlm]","qB5000004197518CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00078f8a-d172-4838-a30a-ebd4e15c2d41","","Production","DataCloud_StreamingDataPipeline","2025-02-24T01:19:47.943+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-24T01:57:10.542+0000","6"
"[TenantBillingUsageEvent__dlm]","qB5000002301400CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","000b552a-8334-4904-9698-7e8670e23722","","Production","DataCloud_StreamingDataPipeline","2025-02-21T18:14:51.128+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-21T18:57:05.922+0000","4"
"[TenantBillingUsageEvent__dlm]","qB5000007854882CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00149b1e-f3d6-4c03-ba15-cfe87f8ea04a","","Production","DataCloud_BatchActivationProcessed","2025-02-06T09:21:54.434+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-06T09:56:27.778+0000","33835149"
"[TenantBillingUsageEvent__dlm]","qB5000005781365CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0016b8c9-95ef-4677-8402-781bf8fa9085","","Production","DataCloud_StreamingDataPipeline","2025-02-02T14:53:53.974+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-02T14:56:42.367+0000","18"
"[TenantBillingUsageEvent__dlm]","qB5000008876514CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0018cba5-fac8-48ab-b07f-a608a4224bd6","","Production","DataCloud_StreamingDataPipeline","2025-02-24T13:39:49.424+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-24T13:57:20.473+0000","5"
"[TenantBillingUsageEvent__dlm]","qB5000005606217CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","001afaf4-3ae2-42bb-bbe3-1a08bcdc39e0","","Production","DataCloud_StreamingDataPipeline","2025-02-18T23:45:47.977+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-18T23:57:09.123+0000","5"
"[TenantBillingUsageEvent__dlm]","qB5000005846995CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","001bf05d-30aa-4f1b-92c5-e777ec42e719","","Production","DataCloud_StreamingDataPipeline","2025-02-17T22:35:43.752+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-02-17T22:57:12.366+0000","8"
