"_","Id","UsageReportingOrgId__c","TenantId__c","KQ_Id__c","Id__c","InternalOrganization__c","BusinessEnvType__c","UsageQualifiedName__c","EventTime__c","DataSourceObject__c","EntitlementOrgId__c","ExtractTime__c","UsageValue__c"
"[TenantBillingUsageEvent__dlm]","qB5000008716442CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00612bf9-8ba6-4d07-862e-a230ceb7fce8","","Production","DataCloud_DataQueries","2024-07-31T18:45:01.628+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-31T18:56:42.880+0000","135264"
"[TenantBillingUsageEvent__dlm]","qB5000001945002CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","006a7872-d724-405f-8898-2a5cb8df2fef","","Production","DataCloud_DataQueries","2024-07-25T19:54:02.032+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-25T19:58:40.772+0000","212783"
"[TenantBillingUsageEvent__dlm]","qB5000009884934CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00bb5ba4-9469-4f26-982c-0d83e36b77d9","","Production","DataCloud_DataQueries","2024-07-25T12:58:06.005+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-25T13:57:07.699+0000","543149"
"[TenantBillingUsageEvent__dlm]","qB5000007712581CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00bc140b-7ed8-4f7c-bedb-ad2eb31a5299","","Production","DataCloud_AcceleratedQueries","2024-07-16T02:22:09.767+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-16T02:56:37.457+0000","140"
"[TenantBillingUsageEvent__dlm]","qB5000007467990CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00d13c01-7ee5-440a-80bd-0a24c08c0602","","Production","DataCloud_AcceleratedQueries","2024-07-23T14:10:40.747+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-23T14:57:23.308+0000","1212938"
"[TenantBillingUsageEvent__dlm]","qB5000003079418CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00e1805d-ab41-4f33-8c90-73402a6909d2","","Production","DataCloud_AcceleratedQueries","2024-07-22T21:08:09.602+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-22T21:58:09.947+0000","543149"
"[TenantBillingUsageEvent__dlm]","qB5000006444402CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00ebb319-d659-458e-81cd-4a113f1d1426","","Production","DataCloud_AcceleratedQueries","2024-07-23T16:49:16.471+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-23T16:58:06.287+0000","213927"
"[TenantBillingUsageEvent__dlm]","qB5000006580700CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00f2c70c-3b6e-433b-8196-e316bec0264d","","Production","DataCloud_DataQueries","2024-07-26T17:42:05.147+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-26T21:00:35.990+0000","1"
"[TenantBillingUsageEvent__dlm]","qB5000005747797CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00fe7f8f-afba-4540-8453-5497e7477d50","","Production","DataCloud_AcceleratedQueries","2024-07-23T13:36:43.890+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-23T13:56:39.946+0000","543149"
"[TenantBillingUsageEvent__dlm]","qB5000009026473CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","010b11c2-0c5b-47b3-b385-28024e04df3c","","Production","DataCloud_DataQueries","2024-07-23T19:23:08.897+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-23T19:58:40.322+0000","0"
"[TenantBillingUsageEvent__dlm]","qB5000003653153CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0117311a-1134-4358-8111-65683c4cb0a5","","Production","DataCloud_DataQueries","2024-07-25T17:46:31.187+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-25T17:57:29.867+0000","14695"
"[TenantBillingUsageEvent__dlm]","qB5000006117424CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","01204e01-c8b6-4e90-b4c1-e76bca5cc9ee","","Production","DataCloud_AcceleratedQueries","2024-07-16T12:36:25.668+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-16T12:56:38.430+0000","219705"
"[TenantBillingUsageEvent__dlm]","qB5000005006451CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","012447ad-5887-4d79-8a75-c637d2a7f9d7","","Production","DataCloud_AcceleratedQueries","2024-07-23T13:31:14.880+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-23T13:56:39.946+0000","213927"
"[TenantBillingUsageEvent__dlm]","qB5000003612483CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","01250235-a5a4-45c0-b890-0984083bc6c5","","Production","DataCloud_AcceleratedQueries","2024-07-23T17:54:39.540+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-23T17:58:41.183+0000","2554166"
"[TenantBillingUsageEvent__dlm]","qB5000001683938CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0141413f-aa67-4486-92ad-3be673af542e","","Production","DataCloud_AcceleratedQueries","2024-07-16T12:29:40.306+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-16T12:56:38.430+0000","219705"
"[TenantBillingUsageEvent__dlm]","qB5000006732867CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","014dc109-82c4-4ba6-989f-898071090607","","Production","DataCloud_DataQueries","2024-07-29T13:43:39.477+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-29T13:56:44.550+0000","9259"
"[TenantBillingUsageEvent__dlm]","qB5000009050128CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","015859cc-dd6d-48ae-b1a9-60effb019ce8","","Production","DataCloud_AcceleratedQueries","2024-07-23T11:19:48.241+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-23T11:56:35.114+0000","213927"
"[TenantBillingUsageEvent__dlm]","qB5000007426704CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0161c81a-e2c8-483b-8d3e-3adab88a224f","","Production","DataCloud_Storage","2024-07-28T19:49:37.932+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-28T19:58:09.323+0000","407841083"
"[TenantBillingUsageEvent__dlm]","qB5000004805416CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0172c636-29e0-4087-8101-3998ca0e267b","","Production","DataCloud_BatchDataPipeline","2024-07-15T14:13:38.204+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-15T14:56:43.985+0000","266482"
"[TenantBillingUsageEvent__dlm]","qB5000007662346CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","018a1173-fa8c-4428-b618-c0927311e48f","","Production","DataCloud_DataQueries","2024-07-25T12:29:31.173+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-25T12:56:42.664+0000","0"
"[TenantBillingUsageEvent__dlm]","qB5000007178180CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","01c7731e-9704-41f7-9276-fb1a363aa30b","","Production","DataCloud_DataQueries","2024-07-25T16:44:09.014+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-25T16:57:04.935+0000","10156"
"[TenantBillingUsageEvent__dlm]","qB5000008896087CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","01ce25f3-733d-4fcd-b821-876a8aff1c44","","Production","DataCloud_AcceleratedQueries","2024-07-16T12:36:57.340+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-16T12:56:38.430+0000","219705"
"[TenantBillingUsageEvent__dlm]","qB5000004899232CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","01d7850b-1e7d-4406-b17c-04e814f3a382","","Production","DataCloud_DataQueries","2024-07-25T17:26:19.347+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-25T17:57:29.867+0000","781080"
"[TenantBillingUsageEvent__dlm]","qB5000006580890CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","01e55fae-bcc6-42d0-8a7b-4032db2da55e","","Production","DataCloud_DataQueries","2024-07-25T17:16:44.132+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-25T17:57:29.867+0000","1411046"
"[TenantBillingUsageEvent__dlm]","qB5000003309689CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","01e99f6f-2a57-4ae2-ba89-3ad542f4ad1a","","Production","DataCloud_DataQueries","2024-07-31T19:05:04.714+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-31T19:56:40.379+0000","0"
"[TenantBillingUsageEvent__dlm]","qB5000007350070CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","022c3850-e4dc-4fb4-ad33-7fab09a5102a","","Production","DataCloud_DataQueries","2024-07-29T13:47:49.472+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-29T13:56:44.550+0000","157903"
"[TenantBillingUsageEvent__dlm]","qB5000005836179CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","022f3ddd-5c1b-4e43-985c-fe9b8e62a008","","Production","DataCloud_DataQueries","2024-07-25T21:31:09.028+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-26T00:58:53.576+0000","180"
"[TenantBillingUsageEvent__dlm]","qB5000007910310CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0268afad-d4c3-4d98-ac30-1d8213e7b36b","","Production","DataCloud_DataQueries","2024-07-30T11:14:04.580+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2024-07-30T11:56:37.427+0000","0"
