"_","Id","UsageReportingOrgId__c","TenantId__c","KQ_Id__c","Id__c","InternalOrganization__c","BusinessEnvType__c","UsageQualifiedName__c","EventTime__c","DataSourceObject__c","EntitlementOrgId__c","ExtractTime__c","UsageValue__c"
"[TenantBillingUsageEvent__dlm]","qB5000001234601CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","028e0522-e86a-4996-8f0a-ffe4d9be5e70","","Production","DataCloud_Storage","2025-10-08T18:06:19.816+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-08T18:56:37.253+0000","59007071860"
"[TenantBillingUsageEvent__dlm]","qB5000009424191CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","03747544-e90f-4cf2-97f8-b4bf3b6df467","","Production","DataCloud_DataQueries","2025-10-23T17:08:47.611+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-23T17:56:45.567+0000","341342"
"[TenantBillingUsageEvent__dlm]","qB5000001311232CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","037fa865-2191-4a94-bf71-fad91d55829a","","Production","DataCloud_DataQueries","2025-10-07T16:22:00.227+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-07T16:56:39.613+0000","50"
"[TenantBillingUsageEvent__dlm]","qB5000009100030CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","038ca012-a919-4358-9ce6-d1709e13e9ee","","Production","DataCloud_DataQueries","2025-10-07T16:02:30.835+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-07T16:56:39.613+0000","314"
"[TenantBillingUsageEvent__dlm]","qB5000009879766CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","04f1d570-8cb3-4de3-9b72-8fc0a4ba5528","","Production","DataCloud_DataQueries","2025-10-07T11:19:50.355+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-07T11:56:52.009+0000","252735"
"[TenantBillingUsageEvent__dlm]","qB5000009230800CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0626e3b9-a487-4e92-91e1-f6ae8b7e3fe3","","Production","DataCloud_DataQueries","2025-10-07T15:57:10.755+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-07T16:56:39.613+0000","4"
"[TenantBillingUsageEvent__dlm]","qB5000003200178CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0687f34c-bb3c-4bf2-bab1-67e535c3a256","","Production","DataCloud_Storage","2025-10-21T12:06:29.740+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-21T12:56:38.464+0000","59431864937"
"[TenantBillingUsageEvent__dlm]","qB5000006881099CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","06b0efbd-682c-4d60-ba07-90f164fda1cb","","Production","DataCloud_DataQueries","2025-10-06T15:21:05.980+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-06T15:56:44.924+0000","203825"
"[TenantBillingUsageEvent__dlm]","qB5000004400758CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","07f1c4e7-6260-4e25-a7cb-77d18f33bc3c","","Production","DataCloud_Storage","2025-10-16T06:06:36.001+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-16T06:56:38.914+0000","59197130544"
"[TenantBillingUsageEvent__dlm]","qB5000007391789CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","08c68456-d720-42d5-887c-a20844735c99","","Production","DataCloud_DataQueries","2025-10-07T15:55:50.696+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-07T15:56:58.308+0000","2"
"[TenantBillingUsageEvent__dlm]","qB5000008549738CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","09459839-91c6-4acc-84fb-e911b4a09fd3","","Production","DataCloud_DataQueries","2025-10-07T16:06:37.928+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-07T16:56:39.613+0000","314"
"[TenantBillingUsageEvent__dlm]","qB5000008668462CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0953edb6-9a41-4380-abbe-96c0914f00d6","","Production","DataCloud_Storage","2025-10-13T18:06:29.884+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-13T18:56:52.119+0000","59117776592"
"[TenantBillingUsageEvent__dlm]","qB5000005995980CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0980d9b2-015d-4773-814b-d74241e67316","","Production","DataCloud_DataQueries","2025-10-07T16:22:00.276+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-07T16:56:39.613+0000","4"
"[TenantBillingUsageEvent__dlm]","qB5000004754663CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0c513514-4e18-4c42-874b-cdbbe986b91d","","Production","DataCloud_DataQueries","2025-10-07T16:06:03.701+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-07T16:56:39.613+0000","314"
"[TenantBillingUsageEvent__dlm]","qB5000007190313CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0c5e615f-bcd3-4c31-b39c-7d6e89bbfe51","","Production","DataCloud_Storage","2025-10-07T06:06:31.802+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-07T06:56:35.684+0000","58963816126"
"[TenantBillingUsageEvent__dlm]","qB5000003429803CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0dc1c966-4101-499f-9f21-876f356a5d22","","Production","DataCloud_DataQueries","2025-10-07T15:38:06.844+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-07T15:56:58.308+0000","248"
"[TenantBillingUsageEvent__dlm]","qB5000007629408CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0e372f15-a70a-4c8d-9f8c-2d0a634968e1","","Production","DataCloud_DataQueries","2025-10-08T10:45:57.632+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-08T10:56:39.018+0000","150343"
"[TenantBillingUsageEvent__dlm]","qB5000004510265CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0f90d882-47bb-4f12-8fde-1b9e234c7d58","","Production","DataCloud_DataQueries","2025-10-08T10:45:57.620+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-08T10:56:39.018+0000","150343"
