"_","Id","UsageReportingOrgId__c","TenantId__c","KQ_Id__c","Id__c","InternalOrganization__c","BusinessEnvType__c","UsageQualifiedName__c","EventTime__c","DataSourceObject__c","EntitlementOrgId__c","ExtractTime__c","UsageValue__c"
"[TenantBillingUsageEvent__dlm]","qB5000008702685CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0487cc74-a092-45bd-bcc3-9ea7e69fc9da","","Production","DataCloud_DataQueries","2025-10-27T14:05:09.672+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000002549629CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","04e71478-c2f6-4c70-97dc-499f2dc83df9","","Production","DataCloud_DataQueries","2025-10-27T14:06:11.877+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000002558932CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","09c48fc1-a997-4a24-b749-affe22ddeb42","","Production","DataCloud_DataQueries","2025-10-27T14:06:06.319+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000008559850CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","10820968-b8da-465a-90bd-72c4b3cf9728","","Production","DataCloud_DataQueries","2025-10-27T14:04:45.762+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000007814700CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","1abb7d84-2020-4dc0-a3cf-69ce4c826b42","","Production","DataCloud_DataQueries","2025-10-27T14:08:05.791+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","74236"
"[TenantBillingUsageEvent__dlm]","qB5000001842180CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","1c28a13d-071c-40f1-b7ac-a67f0a4d4fdc","","Production","DataCloud_DataQueries","2025-10-27T14:08:53.157+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","74236"
"[TenantBillingUsageEvent__dlm]","qB5000005463770CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","1e13dcaf-3bb4-455f-a761-9b64513ab607","","Production","DataCloud_DataQueries","2025-10-27T14:10:57.646+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","22231"
"[TenantBillingUsageEvent__dlm]","qB5000005755450CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","1ec3cb60-72c6-41cf-aa47-d5103926ad3d","","Production","DataCloud_DataQueries","2025-10-27T14:01:27.257+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","3433"
"[TenantBillingUsageEvent__dlm]","qB5000004884919CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","28c1c491-25da-4a53-b324-3d0952e4fff4","","Production","DataCloud_DataQueries","2025-10-27T14:03:31.841+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000004625190CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","3199c29d-b495-496f-952f-e9d859129ee4","","Production","DataCloud_DataQueries","2025-10-27T14:07:58.645+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","74236"
"[TenantBillingUsageEvent__dlm]","qB5000003052910CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","340b2b4e-0bf6-418d-a970-85a47c3946ee","","Production","DataCloud_DataQueries","2025-10-27T14:06:41.531+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000005939402CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","342c49fd-324f-4506-8471-66039c90f865","","Production","DataCloud_DataQueries","2025-10-27T14:13:16.495+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","344"
"[TenantBillingUsageEvent__dlm]","qB5000007242831CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","343888ab-a110-45d2-ba5f-76eaea65fd04","","Production","DataCloud_DataQueries","2025-10-27T14:06:35.837+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000006011926CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","34dbfd1b-9785-4591-953f-c2ce9cf5e5ba","","Production","DataCloud_DataQueries","2025-10-27T14:15:54.387+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","1"
"[TenantBillingUsageEvent__dlm]","qB5000002056156CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","3907d875-56cb-4e2b-a53d-9d68c40c23b1","","Production","DataCloud_DataQueries","2025-10-27T14:09:07.241+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","74236"
"[TenantBillingUsageEvent__dlm]","qB5000003773127CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","3f1f11be-9cfa-4fbb-bc62-bab6c0aada78","","Production","DataCloud_DataQueries","2025-10-27T14:10:43.316+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","22231"
"[TenantBillingUsageEvent__dlm]","qB5000002186984CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","401fb56e-eec3-44dc-b980-8cfa0c21ae92","","Production","DataCloud_DataQueries","2025-10-27T14:09:48.649+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","74236"
"[TenantBillingUsageEvent__dlm]","qB5000009370325CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","42d9cd6c-5b78-4ed7-ae89-8ea23458481d","","Production","DataCloud_DataQueries","2025-10-27T14:09:18.295+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","74236"
"[TenantBillingUsageEvent__dlm]","qB5000001801104CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","454400b3-70b1-4803-a495-0390d3b334f9","","Production","DataCloud_DataQueries","2025-10-27T14:10:22.600+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","74236"
"[TenantBillingUsageEvent__dlm]","qB5000003388990CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","45e7f90a-6285-43b9-b1e8-a11704b4ed23","","Production","DataCloud_DataQueries","2025-10-27T14:06:55.097+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000004581269CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","46fb6ffb-015d-44d7-873c-3ab33a424325","","Production","DataCloud_DataQueries","2025-10-27T14:09:36.497+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","74236"
"[TenantBillingUsageEvent__dlm]","qB5000002271430CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","49c55a0b-364d-4cdc-90bc-5ea3eda8360c","","Production","DataCloud_DataQueries","2025-10-27T14:06:00.690+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000009060230CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","4c48f192-4aa0-4e32-88d6-9045b9c9c0c2","","Production","DataCloud_DataQueries","2025-10-27T14:07:29.704+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","74236"
"[TenantBillingUsageEvent__dlm]","qB5000006740712CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","4d4fe85d-0d13-4ab4-969a-845b588b42d0","","Production","DataCloud_DataQueries","2025-10-27T14:05:22.620+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000006605900CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","50798476-35eb-4b32-b69a-372874af9d4e","","Production","DataCloud_DataQueries","2025-10-27T14:03:25.591+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000001546256CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","53de8b39-ec6a-4223-aed4-076dad364ba7","","Production","DataCloud_DataQueries","2025-10-27T14:06:17.177+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000003586095CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","54be7fff-4df1-43ef-8f17-8082930e5d98","","Production","DataCloud_DataQueries","2025-10-27T14:09:55.258+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","74236"
"[TenantBillingUsageEvent__dlm]","qB5000002505673CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","57ebdbd5-694d-42dc-b13d-cc5476d25d59","","Production","DataCloud_DataQueries","2025-10-27T14:05:54.061+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000008317281CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","5828dd19-c761-4c9b-a499-c5472f349f69","","Production","DataCloud_DataQueries","2025-10-27T14:04:58.272+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000003165193CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","5d4a5509-f547-46ee-a2eb-8d657ee6381d","","Production","DataCloud_DataQueries","2025-10-27T14:15:57.215+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","0"
"[TenantBillingUsageEvent__dlm]","qB5000008729704CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","5f08c70a-d87a-4f5e-8eb9-457f507d51a7","","Production","DataCloud_DataQueries","2025-10-27T14:04:08.455+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000005328482CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","5f475685-c34c-4d8d-b06f-6e249e06665c","","Production","DataCloud_DataQueries","2025-10-27T14:01:18.994+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","3433"
"[TenantBillingUsageEvent__dlm]","qB5000004538676CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","62aec74c-9a25-4eeb-9fa7-ff81c201ed67","","Production","DataCloud_DataQueries","2025-10-27T14:04:31.881+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000001319214CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","63115197-1baf-4c06-af41-2838df2c4550","","Production","DataCloud_DataQueries","2025-10-27T14:11:51.551+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","22231"
"[TenantBillingUsageEvent__dlm]","qB5000004477156CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","6b57eeba-1fe1-4301-be99-33eda515e4b7","","Production","DataCloud_DataQueries","2025-10-27T14:07:35.206+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","74236"
"[TenantBillingUsageEvent__dlm]","qB5000003840399CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","6fa8d224-b220-4113-b3d1-822bb3fcc013","","Production","DataCloud_DataQueries","2025-10-27T14:09:42.098+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-10-27T14:56:52.997+0000","74236"
