"_","Id","UsageReportingOrgId__c","TenantId__c","KQ_Id__c","Id__c","InternalOrganization__c","BusinessEnvType__c","UsageQualifiedName__c","EventTime__c","DataSourceObject__c","EntitlementOrgId__c","ExtractTime__c","UsageValue__c"
"[TenantBillingUsageEvent__dlm]","qB5000005300262CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","002f4308-a22e-44dd-85fc-2122c119703b","","Production","DataCloud_DataQueries","2025-09-12T18:40:56.281+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-12T18:56:47.260+0000","70468"
"[TenantBillingUsageEvent__dlm]","qB5000007021550CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0073ab31-1160-497e-9cf8-896905d7a814","","Production","DataCloud_DataQueries","2025-09-05T17:23:07.219+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-05T17:56:35.974+0000","0"
"[TenantBillingUsageEvent__dlm]","qB5000004202043CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00a37c9a-d51f-4fd5-8d18-ffcb23f71cb4","","Production","DataCloud_DataQueries","2025-09-15T11:08:18.371+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-15T11:56:31.058+0000","0"
"[TenantBillingUsageEvent__dlm]","qB5000007938120CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","00b5e1f7-abb3-4d4f-88a5-5cdba095a6cc","","Production","DataCloud_DataQueries","2025-09-12T13:49:03.110+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-12T13:56:43.678+0000","163315"
"[TenantBillingUsageEvent__dlm]","qB5000007107560CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0115d54c-ad14-4f3f-b79f-7abb91383bf6","","Production","DataCloud_DataQueries","2025-09-12T13:45:43.338+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-12T13:56:43.678+0000","163315"
"[TenantBillingUsageEvent__dlm]","qB5000003678589CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","014fe997-9bfd-4bc8-996b-537365e15d1e","","Production","DataCloud_DataQueries","2025-09-12T16:20:41.942+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-12T16:57:06.401+0000","2"
"[TenantBillingUsageEvent__dlm]","qB5000009491217CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","01c4de3c-f6eb-49af-b3a2-b2600106e5e7","","Production","DataCloud_DataQueries","2025-09-12T14:06:32.812+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-12T14:56:34.999+0000","163315"
"[TenantBillingUsageEvent__dlm]","qB5000004160696CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","01cef11e-6b06-4664-aa39-abd9eb90045e","","Production","DataCloud_DataQueries","2025-09-09T15:23:52.806+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-09T15:56:34.768+0000","113"
"[TenantBillingUsageEvent__dlm]","qB5000006680664CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","01f7e15f-f339-4caf-bac6-d64c69b81364","","Production","DataCloud_DataQueries","2025-09-12T17:05:22.720+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-12T17:56:36.595+0000","95777"
"[TenantBillingUsageEvent__dlm]","qB5000005614496CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","0250b5b0-0600-490b-a8eb-7f5c7f7b4d97","","Production","DataCloud_DataQueries","2025-09-12T13:48:38.065+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-12T13:56:43.678+0000","163315"
"[TenantBillingUsageEvent__dlm]","qB5000005508935CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","02592445-8c3e-4fd8-9170-969d4b134e3b","","Production","DataCloud_DataQueries","2025-09-12T13:34:33.985+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-12T13:56:43.678+0000","84390"
"[TenantBillingUsageEvent__dlm]","qB5000003888030CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","02774d04-8704-4234-b176-f881b82c43f4","","Production","DataCloud_DataQueries","2025-09-17T12:07:57.931+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-17T12:56:39.661+0000","68"
"[TenantBillingUsageEvent__dlm]","qB5000007315354CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","027b5f0f-fe5e-4b2b-b5d2-7b6377f31a54","","Production","DataCloud_DataQueries","2025-09-23T17:27:20.005+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-23T17:56:38.830+0000","0"
"[TenantBillingUsageEvent__dlm]","qB5000001564665CAA","00D4x000007s8VREAY","a360/prod/77e51984b1b449708d46f41bc4b1a6e1","","02891ed8-f334-41f1-8096-91d232fb68c7","","Production","DataCloud_DataQueries","2025-09-12T14:05:50.359+0000","TenantBillingUsageEvent","00D4x000007s8VREAY","2025-09-12T14:56:34.999+0000","163315"
